Molecule Name,SMILES,% inhibition of HepG2 cell line: PCT_INHIB_HEPG2 (%)
TCMDC-138738,CC(=O)COc1c(C2CCN(CCCCNC(=O)c3ccc(-c4ccc(C(F)(F)F)cc4)cc3)CC2)ccc2c1CCCC2,100
TCMDC-138739,CCOC(=O)c1cc(C(=O)NCCCCN2CCC(c3ccc4c(c3OC)CCCC4)CC2)ccc1-c1ccc(C(F)(F)F)cc1,100
TCMDC-138749,OC(COc1c(C2CCN(CCCCNC(=O)c3ccc(-c4ccc(C(F)(F)F)cc4)cc3)CC2)ccc2c1CCCC2)c1ccc(Cl)cc1,100
TCMDC-138845,FC(F)(F)c1ccc(-c2ccc(C(=O)NC3CCN(CCN4CCC(c5c[nH]c6ccccc56)CC4)CC3)cc2)cc1,100
TCMDC-138852,CC(C)Cn1cc(C2CCN(CCN3CCC(CNC(=O)c4ccc(-c5ccc(C(F)(F)F)cc5)cc4)CC3)CC2)c2ccccc12,100
TCMDC-138856,OCCn1cc(C2CCN(CCN3CCC(CNC(=O)c4ccc(-c5ccc(C(F)(F)F)cc5)cc4)CC3)CC2)c2ccccc12,100
TCMDC-138967,Cl.Clc1ccc(OCCC2CCN(CCCCCCCN3CCC(CCOc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1Cl,100
TCMDC-139056,Cl.Nc1c2c(nc3ccc(NC(=O)CCCCCCc4ccccc4)cc13)CCCC2,100
TCMDC-139110,Cl.CN1CCCC1COc1cc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)ccc1I,100
TCMDC-139280,CN1CCN(c2cc3c(cc2Br)CCN3C(=O)Nc2ccc(-c3cnc4ccccc4c3)cc2)CC1,100
TCMDC-139292,CN1CCN(c2cc3c(cc2Cl)CCN3C(=O)Nc2ccc(-c3ccc(C#N)c(C)c3)cc2)CC1,100
TCMDC-139293,CN1CCN(c2cc3c(cc2Br)CCN3C(=O)Nc2ccc(-c3ccc(C#N)c(C)c3)cc2)CC1,100
TCMDC-139336,Cc1cc(N)c2cc(NC(=O)c3cc4ccccc4s3)ccc2n1,100
TCMDC-139377,Cl.Cc1cc(N)c2cc(NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)ccc2n1,100
TCMDC-139415,NCCCN(Cc1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(Cl)c(Cl)c1,100
TCMDC-139448,Clc1ccc(/C=C/C(=O)NCCCCCN2CCC(c3n[nH]c(-c4ccccc4)c3Br)CC2)cc1Cl,100
TCMDC-139588,CCCCCCCCS(=O)(=O)NCCCC1CCN(CCCCCNC(=O)C=Cc2ccc(Cl)c(Cl)c2)CC1,100
TCMDC-139614,OC(=O)C(F)(F)F.CCCCNC(=O)c1cc(CNC2CCCCC2)ccc1-c1cccc(CNCc2ccc(-c3ccccc3)cc2)c1,100
TCMDC-139648,CC(Cc1ccc(CNC(=O)NCc2ccc(CC(C)NCCc3cccc(Cl)c3)cc2)cc1)NCCc1cccc(Cl)c1,100
TCMDC-139680,CC(Cc1ccc(NC(=O)COc2ccc(CC(C)NCCc3cccc(Cl)c3)cc2)cc1)NCCc1cccc(Cl)c1,100
TCMDC-139805,CCOc1ccccc1CCNC(C)Cc1ccc(C(=O)Nc2ccc(CC(C)NCCc3cccc(Cl)c3)cc2)cc1,100
TCMDC-139834,Cl.CC(Cc1ccc(OCC(=O)NCC2CCN(CCc3cccc(Cl)c3)CC2)cc1)NCCc1cccc(Cl)c1,100
TCMDC-139861,Nc1nc(N)c2c3ccn(Cc4ccc(Cl)cc4)c3ccc2n1,100
TCMDC-139866,Cl.CC(Cc1ccc(NC(=O)c2ccc(CNCCCCc3ccccc3)cc2)cc1)NCCc1cccc(Cl)c1,100
TCMDC-139867,Cl.CC(Cc1ccc(NC(=O)c2ccc(CNCCc3ccccc3)cc2)cc1)NCCc1cccc(Cl)c1,100
TCMDC-140009,Cc1oc(-c2ccc(Cl)cc2)cc1C(=O)NCCC1CCN(CCCCCNC(=O)/C=C/c2ccc(Cl)c(Cl)c2)CC1,100
TCMDC-140016,CC(Cc1ccc(OCCCCOc2ccccc2)cc1)NCCCn1ccnc1,100
TCMDC-140017,CC(Cc1ccc(OCCCCOc2ccccc2)cc1)NCCC1CCCN1C,100
TCMDC-140019,CC(Cc1ccc(OCCCCOc2ccccc2)cc1)NCCc1ccccc1Cl,100
TCMDC-140020,COc1cccc(CCNC(C)Cc2ccc(OCCCCOc3ccccc3)cc2)c1,100
TCMDC-140587,OC(=O)C(F)(F)F.O=C(Nc1ccccc1)N(Cc1cccc(-c2cccc(CNCCc3ccccc3)c2)c1)C1CCN(Cc2ccccc2)CC1,100
TCMDC-140588,OC(=O)C(F)(F)F.O=C(Nc1ccccc1)N(Cc1cccc(-c2ccc(CNCCc3ccccc3)cc2)c1)C1CCN(Cc2ccccc2)CC1,100
TCMDC-140589,OC(=O)C(F)(F)F.O=C(Nc1ccccc1)N(Cc1cccc(-c2ccc(CNC3CCCC3)cc2)c1)C1CCN(Cc2ccccc2)CC1,100
TCMDC-140610,OC(=O)C(F)(F)F.O=C(NCCc1ccccc1)N(Cc1ccccc1-c1cccc(CNCCc2ccccc2)c1)C1CCN(Cc2ccccc2)CC1,100
TCMDC-140779,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(CCc2ccc(F)cc2)nc(=O)c2sccc12,100
TCMDC-141053,O[C@H]([C@@H](O)C(O)=O)C(O)=O.Fc1cccc(CCc2nc(=O)c3ccccc3n2CC(=O)N(CCCN2CCCCC2)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)c1F,100
TCMDC-141063,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c2c(c(=O)nc1SCc1ccc(F)c(F)c1F)CCC2,100
TCMDC-141119,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CCN1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3ccccc23)CC1,100
TCMDC-141178,CC(C)CCNC(=O)C1Cc2c([nH]c3ccc(Br)cc23)C2(CCN(Cc3ccccc3)CC2)N1,100
TCMDC-141181,CCCCCCNC(=O)C1Cc2c([nH]c3ccc(Br)cc23)C2(CCN(Cc3ccccc3)CC2)N1,100
TCMDC-141358,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CCN1CCC(N(Cc2ccc(-c3ccc(Cl)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3ccccc23)CC1,100
TCMDC-141405,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(CCc2cccc(F)c2F)cc(=O)c2ccc(OCC3CCCN3C)cc12,100
TCMDC-141459,Cl.CC(C)Oc1cc2c(cc1NS(=O)(=O)c1ccc(-c3ccc(Cl)cc3)cc1)CCN(C)CC2,100
TCMDC-141609,OC(=O)C(F)(F)F.CCN(CC)CCCNc1ncc2c(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)nn(C)c2n1,100
TCMDC-141610,OC(=O)C(F)(F)F.CN1CCCC1CCNc1ncc2c(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)nn(C)c2n1,100
TCMDC-141611,OC(=O)C(F)(F)F.CN1CCN(CCCNc2ncc3c(-c4ccc(NC(=O)Nc5cc(C(F)(F)F)ccc5F)c(F)c4)nn(C)c3n2)CC1,100
TCMDC-141698,OC(=O)C(F)(F)F.Cc1ccc(Cn2nc(Cl)c(N3CCNCC3)cc2=O)cc1NC(=O)Nc1ccc(-c2ccccc2)cc1,100
TCMDC-141906,CCC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c(OCCN3CCCCC3)c2)cc1,100
TCMDC-141973,OC(=O)CCSSc1ccccn1=O,100
TCMDC-141982,Nc1nc(N)c2cc(NC(=O)c3ccc(Cl)c(Cl)c3)ccc2n1,100
TCMDC-142256,Cl.CCCN(CCC)CCCOc1ccc(C(=O)c2c(-c3ccc(OCCCN(CCC)CCC)cc3)oc3ccc(Cl)cc23)cc1,100
TCMDC-142295,Nc1cc(C=Cc2ccc(N(=O)=O)o2)nc2ccccc12,100
TCMDC-123493,COc1ccc(C[C@@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@@H](n3cnc4c(N(C)C)ncnc34)[C@@H]2O)cc1,99
TCMDC-124010,CC(C)c1ccc2oc(-c3ccc(NC(=O)c4ccc(N(=O)=O)o4)cc3)nc2c1,99
TCMDC-124065,Cl.CCCCCCCn1c2ccccc2n(CC(O)c2ccc(Cl)c(Cl)c2)c1=N,99
TCMDC-124174,Cl.CCCCCOc1ccc(C(O)C(CCC(CN2CCCCCC2)C(O)c2ccc(OCCCCC)cc2)CN2CCCCCC2)cc1,99
TCMDC-124233,Cl.ON=C1c2cc(OCCN3CCCCC3)c(Cl)cc2-c2cc(Cl)c(OCCN3CCCCC3)cc21,99
TCMDC-124234,Cl.CCN(CC)CCOc1cc2c(cc1Br)-c1cc(Br)c(OCCN(CC)CC)cc1C2=NO,99
TCMDC-124286,Cl.C(CCCCNc1c2ccccc2nc2ccccc12)CCCCNc1c2ccccc2nc2ccccc12,99
TCMDC-124448,Cc1cc(C)c2nc(N3CCC(C(=O)NCCCN4CCC(N5CCCCC5)CC4)CC3)sc2c1,99
TCMDC-125428,Cl.CN(C)CCCN(C(=O)c1cc2c(C)nn(-c3ccccc3)c2s1)c1nc(-c2ccccc2)cs1,99
TCMDC-131523,Cl.CNCCCCCCOc1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1,99
TCMDC-131549,Cl.C[C@H](Cc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1)NC[C@H](O)COc1ccccc1,99
TCMDC-131550,Cl.C[C@H](Cc1ccc(OCCCCCCOc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1,99
